,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
88,Lonely Boy,2uGi7bQZU5My0k1UGJQRz2,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,193653,3dOAXUx7I1qnzWzxdnsyB8,Lonely Boy,64,0.00417,0.356,0.872,0.00975,2,0.0997,-7.837,1,0.068,166.3,0.607
89,R U Mine?,4ki3TBqU3l13iWWqb5RKb1,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,200187,6Sl4vxgAjIY8pVTa5idAx1,R U Mine?,2,0.0468,0.52,0.785,0.0,6,0.698,-4.765,0,0.0329,96.996,0.679
90,"In Some Way, Shape, Or Form.",2l8MrqfglqjdMp5lvjsxAO,Four Year Strong,0qqxspZOkbN00bu6DaRIrn,197666,1o9PZA6tQiQxAKpx8BFdxQ,The Infected,0,1.75e-05,0.286,0.998,0.000141,2,0.583,-3.145,1,0.361,194.992,0.0734
91,Velociraptor!,6lox5NV29L4QQmLuAvBXuP,Kasabian,11wRdbnoYqRddKBrpHt4Ue,284186,1SsDbcjGHregkNfEjogXpm,Re-Wired,53,0.0131,0.692,0.828,6.51e-05,11,0.43,-6.061,0,0.0466,114.981,0.433
92,Kasabian,3SpGiJhdi0BIALt1zFh9Oo,Kasabian,11wRdbnoYqRddKBrpHt4Ue,278000,2slJbiEt7T2QlmyCvfy481,Cutt Off,33,0.0583,0.56,0.645,0.0614,0,0.0551,-7.953,0,0.0312,90.181,0.283
93,Kasabian,3SpGiJhdi0BIALt1zFh9Oo,Kasabian,11wRdbnoYqRddKBrpHt4Ue,197600,7M6LcwEgpNLfmUQI0mpZ75,L.S.F.,41,0.00681,0.613,0.761,0.000152,9,0.27,-7.468,1,0.0343,105.274,0.44
94,Kasabian,3SpGiJhdi0BIALt1zFh9Oo,Kasabian,11wRdbnoYqRddKBrpHt4Ue,214373,5wx5aqVGgv1jWLoGFKFdWM,Club Foot,41,0.0257,0.237,0.919,2.31e-05,0,0.0914,-6.893,1,0.0814,101.758,0.123
95,Empire,22cuBzNBEzMhitybh0WEIh,Kasabian,11wRdbnoYqRddKBrpHt4Ue,148733,0vfvmVyAyN2rqKUEwCNlX6,Me Plus One,38,0.148,0.524,0.906,0.341,9,0.146,-3.783,1,0.0737,134.866,0.753
96,Telefone,18Scpsg5OV1iYNtSaCsjwz,Noname,1EpyA68dKpjf7jXmQL88Hy,208000,6JvfBzqZmSiEG5MjM7OcSY,Diddy Bop (feat. Cam O'bi & Raury),62,0.713,0.637,0.503,0.000113,1,0.109,-6.927,1,0.336,81.061,0.661
97,Telefone,18Scpsg5OV1iYNtSaCsjwz,Noname,1EpyA68dKpjf7jXmQL88Hy,183135,0UVfZ1QfaSPqRHhmZNVI71,Reality Check (feat. Akenya & Eryn Allen Kane),57,0.525,0.722,0.519,0.000494,6,0.105,-10.018,1,0.229,95.014,0.655
