name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Cida,7FXjPI4dE1Eian6Exy6VEa,68,186000,Cida,33n8HttkiMeQbFJLZd51Gs,Agnes Nunes,0OVOH98bZTn0lsdL7MclGw,0.0616,0.21,1,0.0936,10,0.586,-12.856,0.71,0.0,0.264,80.162
Rio de Janê,3j2dEmhd2UZBwqakguHGFm,66,163764,Rio de Janê,29vwxqRdgeBasvQsY27Lwp,Xamã,5YwzDz4RJfTiMHS4tdR5Lf,0.0925,0.909,0,0.14,1,0.575,-9.745,0.605,0.0,0.486,169.862
Trip do Boyzinho,0bsAqwSLuCYk6aGkZcuE3h,7,169978,Trip do Boyzinho,06IPbmzsLAagHSVTpioGyg,Boyzinho o Rei da Bregadeira,3JlDzWcj1jl5fVSJ7YyHgK,0.0487,0.51,0,0.867,5,0.742,-3.543,0.141,0.0526,0.74,135.966
Baile do W,3x3mW0krAfSSUP4QbQVc6i,28,148464,Verão,21FqNyRA2T5Rv3tRZcfH18,MC N10,3jE6qEk1XVavdu0D6perNR,0.137,0.895,1,0.669,0,0.851,-6.496,0.104,0.0,0.761,125.04
Abaixa Que É Tiro - Ao Vivo,78RKj8Df8tRGFukJglsvCR,60,153756,O Som Que Vem da Rua (Ao Vivo),6Q0uZsOSx0n9oNX7zPFKuI,Parangolé,2v5eqze59fqRes2e5QVGhf,0.0585,0.863,0,0.266,6,0.731,-12.218,0.689,6.65e-06,0.598,123.153
Só Você,4xc6RrWzEOdprPqYn9Cyen,70,161444,Só Você,5HkCmKyKVNRpNspP9vM7de,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,0.117,0.697,1,0.112,11,0.834,-0.787,0.447,0.0,0.751,129.935
Sou Favela,6VcaTmR9UhOuZD7aNNilOV,61,172173,Sou Favela,3XF8959ppjZwDRouNGahxg,Ruanzinho,3F6YQLCVjGIS7MHQnFOd61,0.0497,0.797,0,0.287,7,0.716,-4.365,0.0306,0.0,0.66,150.067
Desça Daí Seu Corno,0kGhAqLw9vme1jwupgkJgV,38,214961,Desça Daí Seu Corno,4Udr8DKUe4A7NlbIzKU1fi,Nenho,09hRlGrlxwjQUIwFFVToks,0.0493,0.892,0,0.231,3,0.88,-4.683,0.771,0.0,0.581,132.954
Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,73,171998,Agora é Tudo Meu,1KqYanTdzHe7tWwHO4O23g,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,0.106,0.506,0,0.184,5,0.848,-3.306,0.7,2.81e-06,0.933,139.998
Quem Me Dera,29dRTbLTxRaSl63DIzbjvl,68,147990,Quem Me Dera,4dnvHZqul9z0csYtnHcHw7,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,0.0574,0.896,0,0.184,6,0.815,-3.611,0.115,0.0,0.723,149.918
Open Bar,3aHQoK159EULI2Ps0WZUe0,54,221889,Open Bar,1vTjZtvtJgAVmC39O02iZG,Parangolé,2v5eqze59fqRes2e5QVGhf,0.0421,0.959,0,0.251,5,0.78,-11.649,0.478,0.0,0.787,127.028
Solinho Da Rabeta,2AY8dKUoSLHzpIePuQOzU8,63,174514,Solinho Da Rabeta,1RK0lB9PidCBbwWxW4WKxC,Leo Santana,7KVJCU4z5L4EUHILL8aMxR,0.259,0.879,1,0.0562,11,0.876,-1.568,0.314,1.65e-06,0.866,118.011
