,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
180,0.0032,0.529,0.93,3ZH8mv5AfnCUY7pxbO52uu,0.00158,0,0.287,-4.161,0,0.0448,109.005,0.365
181,0.000124,0.384,0.874,6BYRWJcmVR36DUO7Dghcxb,0.0,5,0.245,-2.533,1,0.0378,95.055,0.267
182,3.89e-05,0.281,0.747,0pmdgnrTrUUR60u69LE5GR,0.000541,1,0.0839,-5.318,0,0.0843,123.647,0.249
183,0.000706,0.294,0.97,4KliQFRlvNKnlVYzMMbSMq,0.0,4,0.123,-4.942,1,0.265,166.475,0.144
184,2.04e-05,0.275,0.773,2DGFNAg4pTPLFKPeQRbGDZ,3.6e-06,1,0.115,-4.638,1,0.0494,150.016,0.163
185,0.000442,0.421,0.935,48H6uWuBYeeZUiXwb5f69K,0.000212,8,0.1,-5.153,0,0.0697,165.02,0.455
186,0.00146,0.534,0.931,2xu7bTUyvvJMBMi6JXvWAZ,1.39e-06,1,0.0867,-4.798,0,0.0611,141.043,0.777
187,0.001,0.395,0.902,2J1t2b8xPBqZzj5znx0C7C,0.0,8,0.327,-5.808,0,0.176,184.737,0.632
188,0.0127,0.429,0.954,2zRfQ8p9V9noIDUbpP6CJB,0.0879,1,0.111,-2.91,0,0.104,178.929,0.531
189,0.000743,0.532,0.802,1Up4RdOBpChNDytatxKDXP,0.0,1,0.305,-4.113,0,0.0391,106.993,0.319
190,0.000258,0.222,0.959,1DwDLhnpAnpSSPvKuKIHOA,0.000275,6,0.154,-5.134,1,0.208,161.693,0.128
191,0.00585,0.551,0.865,5GhYfK0jevTEtXOaqCKCxw,0.0,9,0.14,-5.005,1,0.0399,112.486,0.244
192,0.00166,0.423,0.94,4j2Z0fivH9kDUhqG69Z3Aa,0.0,1,0.178,-4.012,0,0.0635,149.934,0.505
193,0.0742,0.299,0.933,6tKky3l379dnGe7F85ztrJ,1.21e-05,6,0.0723,-6.874,0,0.17,180.092,0.205
194,0.112,0.584,0.536,6J7cSyvSCnPwv3vqHchEfL,0.0,10,0.456,-8.158,1,0.0279,126.996,0.44
195,0.141,0.623,0.853,626yIpah5wJb9pcja3QgO2,0.0,4,0.143,-5.356,1,0.0472,106.099,0.783
196,6.73e-05,0.428,0.878,05qCCJQJiOwvPQBb7akf1R,0.0,1,0.0693,-3.661,1,0.049,149.027,0.386
197,0.000746,0.554,0.832,4pdPJQqQNWuDQ6Swl2mW2u,0.0031,4,0.118,-5.536,1,0.0306,160.087,0.674
198,4.12e-05,0.579,0.781,5U9qCuVeVJBWfW7dktnCDe,8.66e-05,6,0.108,-6.131,0,0.0363,137.965,0.728
199,0.563,0.526,0.377,5bxythiVpxTD2nHZMmD8m1,0.0,5,0.0799,-9.762,1,0.0253,143.984,0.313
200,3.02e-05,0.446,0.915,6GdEIwsXvpfda24vliflHo,0.0,7,0.481,-4.232,1,0.0416,174.065,0.28
