,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
166,0.00541,0.504,0.737,3a6SjYfB38OqhIW0mz01Gc,0.000164,4,0.33,-8.283,0,0.0411,112.013,0.0976
167,0.000306,0.262,0.973,4xRI6B31BO8P2QWw8pBfap,0.159,5,0.543,-5.313,0,0.235,181.75,0.104
168,0.00376,0.402,0.939,7uWHxUN7fBZO4f8IVR0pjo,0.00271,8,0.29,-4.493,1,0.0787,142.039,0.077
169,0.000518,0.45,0.715,63q7nD1XRETyOcPfW6o8hJ,0.000131,6,0.949,-8.958,1,0.0351,140.132,0.413
170,0.0202,0.542,0.972,2QqjzHfvaI7AMW7xDjqBNw,0.00569,11,0.135,-4.941,1,0.0856,114.038,0.349
171,0.00157,0.199,0.761,3JZcBBxfe1eQcPuDamgHBy,2.67e-06,2,0.274,-6.276,1,0.122,150.795,0.288
172,0.00337,0.653,0.775,53W2KeM6RCDEqO74zkDaXJ,0.0,4,0.102,-7.023,1,0.0293,106.503,0.754
173,6.29e-06,0.465,0.84,5389fG2362ZzejIIeig7gM,0.000325,7,0.102,-3.896,1,0.0283,138.035,0.334
174,0.0201,0.249,0.804,59kTVUKhpcFw9zMLPSbFvH,0.0,10,0.262,-3.233,1,0.0502,155.066,0.389
175,0.00165,0.402,0.926,4JXZqXZg7m2pN2xeZpyzdW,0.00787,4,0.0947,-4.12,1,0.0722,176.021,0.455
176,0.000292,0.389,0.949,0sIVnOFBlgEdNxXubbUjQ2,0.0,1,0.412,-4.973,0,0.0779,161.859,0.58
177,0.00348,0.493,0.946,6crLZ56JjHpq76F8ql3m1g,8.29e-06,4,0.26,-4.326,1,0.0354,105.011,0.715
178,1.77e-05,0.442,0.983,4Eljl3WEYot671neqnT5nZ,0.0247,1,0.0831,-3.244,1,0.15,175.0,0.55
179,0.000394,0.47,0.99,6kyJWPfSBoEFwpDxubqHg0,0.0,0,0.0822,-2.851,1,0.0971,102.542,0.255
180,0.248,0.457,0.675,69J0CruUuF4n63VWLK0hAJ,0.00273,11,0.108,-8.906,1,0.0364,159.973,0.533
181,0.00501,0.495,0.968,3iNk6k9viRTe7LiOTLo4DN,6.16e-06,3,0.228,-4.445,0,0.0513,132.163,0.6
182,0.00449,0.402,0.872,7Mqv9ZiyICbJclormiXuDw,0.364,0,0.169,-6.289,0,0.078,159.045,0.0696
183,0.0203,0.694,0.651,6H4x2MIySKNhrXdLkLJvcy,4.06e-05,2,0.0914,-6.961,1,0.0407,110.065,0.599
184,0.000314,0.354,0.952,5wupuj0ojOFEmc9dzqj8eQ,0.000238,9,0.266,-6.811,0,0.157,159.986,0.124
185,0.000139,0.556,0.973,3Gvjfl8E6t95BJpsBqRn2n,0.0,7,0.144,-2.849,1,0.101,118.033,0.629
186,0.0113,0.621,0.943,3W8kkKICWGoH413PLYUcGh,0.0,11,0.135,-4.591,0,0.144,114.955,0.747
187,0.000299,0.255,0.847,3G2qprFKtzBbNfuq1ES9jH,0.000557,2,0.359,-5.196,1,0.041,86.542,0.285
188,0.000603,0.608,0.965,0ANsIr6iHc9c44CAhbzhuL,8.4e-05,4,0.157,-3.114,1,0.065,125.01,0.145
189,0.000202,0.372,0.961,3A1jkLwsYjaH30J0v6oZCF,1.56e-06,8,0.0945,-2.407,1,0.221,165.054,0.337
