id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
1h2LHhmyAXi8tPNLi806JA,0.201,0.444,0,0.189,0,0.611,-7.436,0.469,1.52e-06,0.454,93.004
5DO1SazQppcsKQ1c1JpyQz,0.345,0.577,1,0.137,5,0.607,-5.271,0.781,0,0.869,155.983
5v501hmUMvbHPKa7qm0MGD,0.328,0.52,1,0.397,0,0.601,-6.944,0.392,1.93e-05,0.883,150.967
53mCo1wDJ12iZNq9LgIeg2,0.387,0.764,1,0.614,7,0.644,-4.55,0.511,8.59e-06,0.801,82.156
6TRVvpoVFwyYyIGTFh0Y7P,0.369,0.593,0,0.198,6,0.55,-7.438,0.299,6.57e-06,0.692,146.453
705u4LfXcTBuDOB8UCy0A7,0.201,0.306,1,0.504,1,0.383,-5.996,0.726,0,0.731,176.781
2FTGmG9PvlXEERkb1sYBE3,0.379,0.639,0,0.658,5,0.471,-6.852,0.116,0,0.839,115.79
12bCgkFnyyTI8B1OmmRhbx,0.0313,0.334,0,0.181,0,0.596,-4.356,0.0506,0,0.783,127.018
2umxjPqGGkrBdxKx0835gC,0.197,0.745,1,0.37,8,0.526,-4.708,0.588,0,0.896,129.313
5kqQoLsjAHHxXmVe4oBT83,0.453,0.568,0,0.129,3,0.539,-5.085,0.112,1.19e-06,0.731,81.114
6I8qWAvgjKEOH2dfuYqxKu,0.0831,0.276,1,0.121,2,0.301,-8.36,0.442,0.000115,0.686,79.036
4r3ZKk0ShOoVrzrFnyjAWw,0.376,0.369,0,0.12,6,0.731,-6.562,0.145,0,0.661,87.912
4c7obYnJE084ZBtxnHIRVt,0.325,0.515,1,0.665,1,0.615,-4.58,0.254,0,0.743,111.914
0mRxPVluGvxD6TitLPcbYt,0.305,0.27,0,0.463,10,0.553,-4.08,0.00713,0,0.852,176.058
46lAAW4MoITmo8D4UAHfMB,0.223,0.672,0,0.285,11,0.443,-5.404,0.455,2.07e-05,0.635,93.742
3BNjuJBicYBzcgos3TPlOx,0.198,0.334,1,0.135,1,0.624,-4.747,0.415,0,0.729,87.948
2ZIHKdsXfOS3cZoGRD2vGL,0.0669,0.609,1,0.102,0,0.699,-10.325,0.145,0.094,0.515,75.988
