id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
5xoUgPXbMNUmoHU0Enwtwq,0.0623,0.814,1,0.103,7,0.41,-5.363,0.239,0,0.803,153.315
5g56bV1M2Rr3GaMWrd4WLe,0.151,0.771,0,0.269,8,0.323,-4.333,0.0122,3.44e-05,0.941,160.11
6aLJ6bSpt3TN46raZ6QIx9,0.0911,0.486,1,0.118,11,0.314,-6.207,0.0267,3.33e-05,0.873,154.8
4q2VEshiq3kRonkIvflpay,0.0595,0.741,0,0.127,11,0.318,-4.554,0.00381,0,0.919,166.477
5UJGLQP5jfMZ5Ag1PpXO9o,0.0258,0.212,1,0.369,0,0.542,-4.729,0.0375,0.000221,0.675,101.752
5Q0uilamiVtrGSeqVPN9Dn,0.0264,0.144,0,0.114,1,0.619,-7.647,0.555,1.36e-06,0.362,103.028
3w3y8KPTfNeOKPiqUTakBh,0.0431,0.867,1,0.309,5,0.726,-4.165,0.049,0,0.698,143.994
55h7vJchibLdUkxdlX3fK7,0.0431,0.937,0,0.324,5,0.874,-5.28,0.0412,7.24e-05,0.692,116.017
3zSCNTXI7Ed0PiidZVmzIe,0.0473,0.802,1,0.0724,1,0.778,-6.144,0.0549,0,0.549,133.041
6w1DBbA8akxHPiBQ6nAyJq,0.102,0.902,0,0.0604,8,0.835,-4.771,0.0716,0,0.571,138.038
6DlbfXDexJ2sj4aEW5ODWP,0.173,0.812,1,0.0578,6,0.666,-4.407,0.488,0,0.602,139.856
4rHZZAmHpZrA3iH5zx8frV,0.0503,0.512,0,0.0946,5,0.574,-6.664,0.234,0,0.512,76.899
1AWQoqb9bSvzTjaLralEkT,0.14,0.818,0,0.0521,4,0.891,-6.055,0.202,0.000234,0.714,100.972
7jDrXytETzwnohhLL3J1A0,0.219,0.357,0,0.164,11,0.795,-3.799,0.103,0,0.596,101.985
76D83dghHeE2NFedPFD4tf,0.0709,0.432,1,0.573,7,0.687,-4.751,0.122,0.00102,0.723,76.0
7aXuop4Qambx5Oi3ynsKQr,0.178,0.457,1,0.0902,4,0.87,-8.337,0.205,0,0.464,112.974
6cNajGUxKP53LIg0LzlfQt,0.0782,0.333,1,0.156,8,0.647,-8.837,0.547,2.69e-05,0.478,135.877
68vgtRHr7iZHpzGpon6Jlo,0.118,0.676,1,0.0465,5,0.662,-8.238,0.257,0,0.507,86.412
1UfBAJfmofTffrae5ls6DA,0.0549,0.579,1,0.0382,2,0.893,-7.857,0.00226,0.000315,0.639,134.963
5mphdlILgAq3vh1MSvAJTS,0.0498,0.203,1,0.098,0,0.716,-11.203,0.384,0.00222,0.349,129.795
6RBAJlxHY9Ulvw2y7yk4aX,0.0327,0.194,1,0.386,9,0.685,-7.888,0.0761,0.000846,0.404,94.988
6RsWqX8zABZLhZydXxEFOm,0.0482,0.593,0,0.103,9,0.702,-5.416,0.124,0,0.77,107.951
25khomWgBVamSdKw7hzm3l,0.0798,0.109,0,0.137,0,0.356,-7.011,0.0861,0,0.567,135.553
137wbDM4s2ugav7MKO45O9,0.0387,0.316,0,0.368,11,0.409,-5.156,0.0113,5.24e-06,0.579,111.426
5fEWugSKjh5I5DQHl5tkFc,0.112,0.403,0,0.117,5,0.673,-7.26,0.46,0,0.659,101.804
4kte3OcW800TPvOVgrLLj8,0.0337,0.269,1,0.511,5,0.664,-6.559,0.25,0,0.661,124.917
4SRqDmPxYX0pUb5B5ut2Ri,0.31,0.58,1,0.189,6,0.452,-8.336,0.246,0,0.574,92.791
6glklpxk7EtKIdxA3kYQS5,0.145,0.727,1,0.194,1,0.668,-5.714,0.48,0,0.673,171.812
1mr3SqpaUKSaV2gOyt6hgC,0.0381,0.635,1,0.329,11,0.761,-5.942,0.115,2.13e-06,0.797,100.023
0C80KJWvQWIGjbOiIurV1W,0.0356,0.828,0,0.0951,0,0.81,-5.784,0.528,0,0.538,109.97
6zyL6I6jYjTgNInFigLOEX,0.0424,0.662,1,0.0884,11,0.542,-9.263,0.618,0,0.577,148.085
5TKrlEX8tzSgKISp9eKWHz,0.0596,0.79,0,0.11,9,0.845,-5.348,0.187,0,0.651,130.03
2KGjEzCBxCv7dt9pefTi7e,0.328,0.914,1,0.0361,9,0.938,-4.752,0.659,0,0.88,129.051
3i2lwh4ZwTFiVmDWDb9DnC,0.225,0.884,0,0.0413,11,0.906,-7.561,0.0392,1.46e-06,0.744,128.068
2PSsjdKe42nE7gZYA1c6fu,0.038,0.96,1,0.122,7,0.812,-6.322,0.0933,0.000603,0.796,130.061
5oNdTrafZ0joNCikz1Vdjd,0.141,0.596,1,0.183,2,0.832,-5.347,0.234,0,0.69,130.411
2coxlAb4MdWJ9br51D0qn7,0.0981,0.907,0,0.0585,11,0.968,-5.679,0.0418,0,0.6,111.951
4UArceAskfrfcttz7GC5kh,0.335,0.872,0,0.0895,2,0.9,-1.4,0.467,0,0.864,129.948
0tOjswPFjpqVQXKaT5OwuL,0.159,0.872,0,0.468,11,0.923,-5.694,0.277,0,0.891,130.005
1Wsyt5It2PYnht0aDYcNyR,0.397,0.37,0,0.106,10,0.621,-5.082,0.584,0,0.481,172.397
5daPObs4UbM8ZGecl0NIVz,0.0733,0.962,1,0.234,7,0.883,-2.348,0.37,0,0.867,137.941
2h3iMryGa2sybWNpmaPMeH,0.0486,0.967,1,0.155,9,0.743,-4.452,0.757,0,0.954,94.884
7DRP2VOMpy1rrk3iYFLCW9,0.0996,0.712,0,0.203,9,0.91,-4.76,0.177,0,0.804,129.929
1OtZIaJBXo3Pe6nfaMsjKT,0.278,0.947,1,0.0643,7,0.843,-10.713,0.288,8.83e-05,0.569,95.075
1sccdFsL9RKiV9AJfxAB3Z,0.248,0.598,1,0.0641,1,0.839,-3.774,0.261,1.96e-05,0.719,95.053
5sdnNP8Dsa8hCUkz3BNuG9,0.361,0.777,0,0.151,6,0.56,-9.292,0.275,0,0.604,86.172
1LTxGBL6yKtfmW3K8EvbSY,0.0593,0.758,1,0.064,6,0.825,-5.169,0.601,0.00105,0.83,129.911
1bUazU9SSOh02AdlOPeTvm,0.0565,0.793,0,0.055,11,0.91,-2.294,0.468,7.63e-05,0.741,95.008
6m2LNopVJKsvBB9l7Z1rwn,0.127,0.367,1,0.0796,6,0.766,-2.887,0.104,0,0.62,89.988
