uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:5vlEg2fT4cFWAqU5QptIpQ,0.0708,0.195,1,0.168,9,0.706,-6.323,0.173,0,0.751,91.031
spotify:track:6RsWqX8zABZLhZydXxEFOm,0.0482,0.593,0,0.103,9,0.702,-5.416,0.124,0,0.77,107.951
spotify:track:25khomWgBVamSdKw7hzm3l,0.0798,0.109,0,0.137,0,0.356,-7.011,0.0861,0,0.567,135.553
spotify:track:4WGyY671Z37inSpCTBJoIm,0.0314,0.432,0,0.0954,2,0.66,-6.025,0.417,0,0.372,119.946
spotify:track:28YLWwEB6xnJQYN7e062rH,0.0488,0.308,0,0.181,1,0.584,-11.066,0.246,0,0.455,74.634
spotify:track:2ih2U8ttFzCjnQ5njF3SrR,0.0371,0.641,1,0.0973,7,0.717,-6.598,0.445,5.16e-06,0.544,139.959
spotify:track:55h7vJchibLdUkxdlX3fK7,0.0431,0.937,0,0.324,5,0.874,-5.28,0.0412,7.24e-05,0.692,116.017
spotify:track:30raivfq7rSt5nKltiHfzG,0.0279,0.418,1,0.0813,2,0.705,-4.351,0.211,4.3e-06,0.784,104.98
spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.0434,0.387,1,0.088,0,0.612,-8.648,0.932,0,0.28,72.795
spotify:track:3G5iN5QBqMeXx3uZPy8tgB,0.032,0.501,0,0.205,6,0.561,-4.951,0.461,1.82e-06,0.749,125.986
spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.0431,0.867,1,0.309,5,0.726,-4.165,0.049,0,0.698,143.994
spotify:track:2tCPIp83mRXvVTytTAf1W4,0.0535,0.514,1,0.204,5,0.743,-5.728,0.0461,0,0.706,77.989
spotify:track:6FPQabaldvKE5cjqRfY9Os,0.0709,0.78,1,0.153,0,0.754,-6.555,0.0943,7.39e-05,0.677,93.022
spotify:track:7lXOqE38eCr979gp27O5wr,0.0316,0.49,1,0.0854,3,0.522,-5.86,0.722,0,0.413,175.972
spotify:track:4LjkHlY5qDz0hhFJJH5M7a,0.0429,0.868,0,0.276,9,0.705,-8.221,0.381,0,0.451,77.998
spotify:track:3B5UbSndRz907IZhhmUfLi,0.028,0.509,1,0.0772,0,0.577,-5.98,0.84,0,0.397,89.044
spotify:track:78Z199FfQHt4VpnJzlYaIe,0.0304,0.543,0,0.148,5,0.559,-3.887,0.117,4.46e-06,0.807,140.081
spotify:track:1UfBAJfmofTffrae5ls6DA,0.0549,0.579,1,0.0382,2,0.893,-7.857,0.00226,0.000315,0.639,134.963
spotify:track:6fQcqEcXfnY0L6VwS0c3gT,0.0372,0.41,1,0.0656,4,0.827,-7.774,0.184,0.029,0.576,118.04
spotify:track:1CvhKmrutTAta5awpJcFDn,0.134,0.964,1,0.334,8,0.819,-8.522,0.234,0,0.768,139.982
spotify:track:3zHq9ouUJQFQRf3cm1rRLu,0.0543,0.292,0,0.127,5,0.239,-6.648,0.242,0,0.613,189.628
spotify:track:2s1sdSqGcKxpPr5lCl7jAV,0.0499,0.572,1,0.0685,1,0.399,-2.88,0.0197,6.07e-05,0.787,117.089
spotify:track:7zE6pyXLjUCOy8PG0UL5SZ,0.0399,0.0938,1,0.105,5,0.469,-4.962,0.0393,0,0.592,161.996
spotify:track:0cUYHAciIIom2n04j9p5qj,0.0357,0.151,1,0.117,8,0.444,-5.683,0.189,0,0.497,124.382
spotify:track:5S9lfZu1YF8xKkgSsqL2Bd,0.0496,0.499,1,0.146,9,0.421,-4.998,0.0117,1.48e-05,0.791,130.075
spotify:track:2akkzRZ5HADuMZ03TlyxSR,0.0559,0.33,0,0.149,5,0.418,-3.307,0.00598,0,0.764,175.669
