album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Yeezus,0XTAmejG8F97wF5MWoVbaY,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,234853,3jEZweBGYfPpE4ojmABIrI,I'm In It,0,0.126,0.576,0.597,0.0,1,0.0656,-4.604,1,0.366,120.172,0.429
Feel Me,2Z56mzCWi6TrC0JULZfUd3,Tyga,5LHRHt1k9lMyONurDHEdrp,199957,3P7y6ndbUdfauItw4OvyFV,Feel Me,0,0.113,0.486,0.651,0.0,1,0.857,-3.881,0,0.2,142.792,0.21
Ain't Nothing,0znvC5c6TRra36I4AaZ3eu,Juicy J,5gCRApTajqwbnHHPbr2Fpi,196506,13kD8QKxGoDmOYotIeRo2T,Ain't Nothing,60,0.00424,0.77,0.594,0.0,1,0.2,-8.407,1,0.173,169.024,0.463
No Stylist,0DMvfJWc1DjSbmnJF1NW1o,French Montana,6vXTefBL93Dj5IqAWq6OTv,192172,04MLEeAMuV9IlHEsD8vF6A,No Stylist,80,0.0215,0.765,0.704,0.0,5,0.227,-4.589,0,0.127,147.055,0.498
100 (feat. Drake),28p2PovJC3eJ40qk5MeAAK,The Game,0NbfKEOTQCcwd6o7wSDOHI,343077,1hZ13x9jzNpcSXd6hWtqsw,100 (feat. Drake),2,0.023,0.799,0.518,0.0,4,0.172,-9.459,1,0.235,108.036,0.385
Ransom 2,0jqcY0azNzkluuC8hxNGlw,Mike WiLL Made-It,0NWbwDZY1VkRqFafuQm6wk,170751,4MdQkwmoI9lrUfHGD7wOzy,Nothing Is Promised (with Rihanna),65,0.0108,0.735,0.494,1.05e-06,8,0.108,-7.607,0,0.115,135.159,0.143
"good kid, m.A.A.d city (Deluxe)",748dZDqSZy6aPXKcI9H80u,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,350120,3qX1dqmDdmMvvfMVfsx4Bh,m.A.A.d city,69,0.0538,0.487,0.729,4.07e-06,2,0.44,-6.815,1,0.271,91.048,0.217
Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,267426,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),73,0.0201,0.768,0.471,0.0,2,0.268,-8.406,1,0.259,131.023,0.405
DAMN.,7wbJhbCvhPfbK1CLAkpq25,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,185946,4cGeMgLcykDLAazHFpbZbU,DNA.,10,0.00402,0.636,0.517,0.0,0,0.0874,-6.759,1,0.36,139.928,0.394
Sneakin’,0geTzdk2InlqIoB16fW9Nd,Drake,3TVXtAsR1Inumwj472S9r4,251333,7vL1M0BHhpjbaKrwRimJ4L,Sneakin’,2,0.00496,0.806,0.558,1.45e-06,8,0.16,-6.538,1,0.172,85.011,0.26
SYRE,41nu8hxyt0Rx9Yj9LHFfd1,Jaden,0xOeVMOz2fVg5BJY3N6akT,184598,08GMwsvnrVZqBDE9djqAia,Breakfast (feat. A$AP Rocky),1,0.277,0.47,0.78,0.0,2,0.693,-7.823,1,0.604,80.6,0.161
MIA / Confessions,01VOk8ygx9WCn4crf9Iit3,Kydd Jones,7aubonvXWkYwL9Z84q7gPK,206261,2NgWNE1ceSZoV4oEn046ba,M.I.A.,29,0.22,0.77,0.378,0.0,1,0.107,-15.157,1,0.197,122.038,0.312
